Id,title,distributor,Genre,leadActor,Actor popularity,director,Director popularity,Sentiment,num_theaters,runtime_mins,releaseYear,CULT_INDEX,CPI,prod_budget_ADJ,rev_totalGross_ADJ
3468,Whipped,Destination,Comedy,Amanda Peet,7.599365,Peter Cohen,1.12,-1,1581,82,2000,5.53E-10,172.2,4146341.463,10902214.08
3384,Little Nicky,New Line,Comedy,Adam Sandler,7.883535,Steven Brill,1.841047,-1,2910,84,2000,5.26E-11,172.2,117479674.8,103426652.3
3381,The Ladies Man,Paramount,Comedy,Tim Meadows,1.93928,Reginald Hudlin,1.618813,-1,2022,84,2000,2.29E-10,172.2,33170731.71,35685504.04
3448,The Tao of Steve,Sony Classics,Comedy,Donal Logue,3.748402,Jenniphr Goodman,1.4,1,9,87,2000,5.73E-05,172.2,1415127.785,11379756.25
3455,Turn It Up,New Line,Music Drama,Pras,1.156,Robert Adetuyi,1.178253,1,661,87,2000,5.67E-09,172.2,17967479.67,3270541.572
3337,Cecil B. Demented,Artisan,Comedy,Melanie Griffith,4.05026,John Waters,2.65544,1,9,88,2000,8.83E-06,172.2,418667.1124,3366714.624
3344,The Crew,Buena Vista,Crime Comedy,Richard Dreyfuss,2.677116,Michael Dinner,1.063944,1,1510,88,2000,5.25E-10,172.2,52520325.2,34130007.06
3347,Down to You,Miramax,Romantic Comedy,Freddie Prinze,2.818751,Kris Isacsson,1.008891,1,1971,89,2000,1.76E-10,172.2,48373983.74,52595518.71
3465,Whatever It Takes,Sony / Columbia,Romantic Comedy,Shane West,5.635719,David Raynr,1.004854,1,2272,94,2000,2.29E-10,172.2,44227642.28,22920095.31
3369,Hanging Up,Sony / Columbia,Comedy / Drama,Meg Ryan,4.863958,Diane Keaton,6.070353,1,2618,95,2000,7.48E-11,172.2,82926829.27,94478040.29
3371,Here on Earth,Fox,Romance,Chris Klein,1.462532,Mark Piznarski,1.000006,1,1712,96,2000,3.02E-10,172.2,20731707.32,27575796.67
3460,The Watcher,Universal,Thriller,James Spader,3.971583,Joe Charbanic,1.001084,1,2742,97,2000,1.29E-10,172.2,41463414.63,75861359.5
3452,Timecode,Sony / Columbia,Drama,Salma Hayek,13.113934,Mike Figgis,1.666249,1,7,97,2000,1.74E-05,172.2,6910569.106,2772080.708
3333,Bring It On,Universal,Sports Comedy,Kirsten Dunst,8.106726,Peyton Reed,5.267121,1,2380,98,2000,9.53E-11,172.2,38699186.99,179203126.2
3327,Big Momma s House,Fox,Action Comedy,Martin Lawrence,4.939159,Raja Gosnell,1.210589,1,2802,98,2000,6.37E-11,172.2,41463414.63,308091940.6
3171,Black and White,Sony / Columbia,Crime Drama,Robert Downey,19.337941,James Toback,1.774208,1,1284,99,2000,8.40E-10,172.2,16585365.85,13830393.52
3368,Gun Shy,Buena Vista,Crime Comedy,Liam Neeson,17.051383,Eric Blakeney,1.005513,1,296,102,2000,1.12E-08,172.2,19349593.5,4293290.627
3361,Get Carter,Warner Bros.,Action,Sylvester Stallone,7.20146,Stephen T. Kay,1.290118,1,2315,102,2000,1.47E-10,172.2,879024390.2,39224993.13
3310,28 Days,Sony / Columbia,Comedy / Drama,Sandra Bullock,7.895502,Betty Thomas,2.061481,1,2523,103,2000,1.39E-10,172.2,59430894.31,97413937.8
3420,Reindeer Games,Miramax,Action,Ben Affleck,10.177778,John Frankenheimer,2.265794,1,2204,104,2000,1.60E-10,172.2,58048780.49,61243904.72
3385,The Little Vampire,New Line,Family Adventure,Jonathan Lipnicki,2.21493,Uli Edel,1.641227,1,2009,105,2000,2.07E-10,172.2,48373983.74,35569641.42
3341,Chocolat,Miramax,Romance,Juliette Binoche,5.816234,Lasse Hallström,3.665819,-1,8,105,2000,3.87E-16,172.2,34552845.53,187406973
3456,Unbreakable,Buena Vista,Thriller,Bruce Willis,8.831725,M. Night Shyamalan,4.017411,-1,2708,106,2000,3.81E-11,172.2,103658536.6,248999385.4
3419,Red Planet,Warner Bros.,Sci-Fi Adventure,Val Kilmer,7.277254,Antony Hoffman,1.05767,-1,2703,106,2000,8.50E-11,172.2,110569105.7,45812751.53
3338,The Cell,New Line,Sci-Fi Thriller,Jennifer Lopez,5.68544,Tarsem Singh,2.226365,-1,2411,107,2000,8.29E-11,172.2,45609756.1,160740214.3
3438,The Skulls,Universal,Thriller,Joshua Jackson,2.814901,Rob Cohen,2.814906,-1,2412,107,2000,1.19E-10,172.2,48373983.74,91846535.72
3329,Bless the Child,Paramount,Horror Thriller,Kim Basinger,4.327814,Chuck Russell,2.202762,-1,2524,107,2000,1.31E-10,172.2,89837398.37,77001061.41
3391,Meet the Parents,Universal,Comedy,Ben Stiller,9.085143,Jay Roach,2.248602,-1,2614,108,2000,7.76E-11,172.2,76016260.16,435681314.1
3372,High Fidelity,Buena Vista,Romantic Comedy,John Cusack,5.552555,Stephen Frears,2.308053,-1,1183,114,2000,5.58E-10,172.2,41463414.63,71512310.15
3377,I Dreamed of Africa,Sony / Columbia,Adventure,Kim Basinger,4.353011,Hugh Hudson,1.012589,-1,2112,115,2000,5.42E-10,172.2,69105691.06,17431865.58
3366,Gone in 60 Seconds,Buena Vista,Action,Nicolas Cage,7.620036,Dominic Sena,1.000403,-1,3006,117,2000,5.27E-11,172.2,124390243.9,266393800.7
3317,The Art of War,Warner Bros.,Action Thriller,Wesley Snipes,6.659466,Christian Duguay,2.647507,-1,2630,117,2000,1.06E-10,172.2,82926829.27,79168683.07
3422,The Replacements,Warner Bros.,Sports Comedy,Keanu Reeves,20.75785,Howard Deutch,2.558585,-1,2754,118,2000,1.33E-10,172.2,69105691.06,117243902.8
3360,Frequency,New Line,Sci-Fi Thriller,Dennis Quaid,4.430167,Gregory Hoblit,1.51236,-1,2621,119,2000,2.11E-10,172.2,42845528.46,117959937
1692,Where the Heart Is,Fox,Comedy / Drama,Dabney Coleman,2.342099,John Boorman,2.022562,-1,2437,120,2000,2.02E-10,172.2,20731707.32,88509603.11
3466,Where the Heart Is,Fox,Comedy / Drama,Natalie Portman,11.246365,Matt Williams,1.032248,-1,2437,120,2000,2.02E-10,172.2,20731707.32,88509603.11
3409,Pay It Forward,Warner Bros.,Drama,Haley Joel Osment,8.166719,Mimi Leder,1.390975,-1,2130,123,2000,1.70E-10,172.2,55284552.85,87846007.22
3312,The 6th Day,Sony / Columbia,Sci-Fi Action,Arnold Schwarzenegger,9.295543,Roger Spottiswoode,4.03728,-1,2516,124,2000,8.11E-11,172.2,113333333.3,90688590.89
3459,Vertical Limit,Sony / Columbia,Action,Chris O Donnell,3.314571,Martin Campbell,1.907072,-1,2307,124,2000,1.25E-10,172.2,103658536.6,181469691.1
3342,The Contender,DreamWorks,Drama / Thriller,Joan Allen,5.393153,Rod Lurie,1.002988,-1,1516,127,2000,4.10E-10,172.2,27642276.42,46839641.35
