Id,title,distributor,Genre,leadActor,Actor popularity,director,Director popularity,Sentiment,rev_totalGross,rev_opening,num_theaters,runtime,rev_postOpening,runtime_mins,releaseYear,rev_opening_ADJ,rev_totalGross_ADJ,CPI,prod_budget_ADJ,CULT_INDEX
3412,Pollock,Sony Classics,Drama,Ed Harris,9.482665,Ed Harris,9.057137,1,13919986.4,44244,2,1 hrs. 57 min.,22462994.31,117,2000,71625.19245,22534619.5,172.2,2802289.246,0.002196284668
3231,Jesus Son,Lions Gate,Drama,Billy Crudup,5.55511,Alison Maclean,1.000003,0,2107874.502,37089,1,1 hrs. 45 min.,3352328.228,105,2000,60042.19245,3412370.42,172.2,34552845.53,0.0009465489634
3406,Panic,Roxie,Crime Drama,William H. Macy,4.371691,Henry Bromell,2.325409,0,1261319.898,18006,4,1 hrs. 28 min.,2012760.99,88,2000,29149.33585,2041910.326,172.2,1382113.821,0.0006007853665
3423,Requiem for a Dream,Artisan,Drama,Ellen Burstyn,4.039423,Darren Aronofsky,4.87431,1,5885365.2,64770,2,1 hrs. 42 min.,9422774.871,102,2000,104854.0755,9527628.946,172.2,1184806.806,0.0004332955302
2988,Brown s Requiem,Unknown,Unknown, Michael Rooker,4.05026,Jason Freeland,1.000799,0,6940.086792,3077,2,1 hrs. 44 min.,6253.827298,104,2000,4981.256604,11235.0839,172.2,1397.13256,0.0002263958676
3375,The House of Mirth,Sony Classics,Period Drama,Gillian Anderson,6.719518,Terence Davies,1.000554,-1,4926674.853,48770,7,2 hrs. 20 min.,7896683.705,140,2000,78952.18868,7975635.894,172.2,991808.9615,0.0001827843175
3182,But I m a Cheerleader,Lions Gate,Comedy,Natasha Lyonne,3.087959,Jamie Babbit,1.030467,0,3570618.804,60410,4,1 hrs. 24 min.,5682564.441,84,2000,97795.81132,5780360.252,172.2,718815.7625,0.0001510965008
3354,An Everlasting Piece,DreamWorks,Unknown,Barry McEvoy,1.000197,Barry Levinson,3.368775,0,121784.1962,9128,8,1 hrs. 43 min.,182375.5026,103,2000,14777.02642,197152.529,172.2,19349593.5,0.0001128595375
3472,You Can Count on Me,Paramount Classics,Drama,Laura Linney,4.728341,Kenneth Lonergan,2.812408,0,14866650.18,118170,8,1 hrs. 51 min.,23875841.5,111,2000,191301.6226,24067143.12,172.2,2992865.885,8.22E-05
3379,Into the Arms of Strangers: Stories of the Kindertransport,Warner Bros.,Documentary,N.A,4.05026,Mark Jonathan Harris,1.0504,-1,619713.9736,32037,5,2 hrs. 2 min.,951371.4025,122,2000,51863.6717,1003235.074,172.2,124757.1025,7.46E-05
3325,Before Night Falls,Fine Line,Drama,Javier Bardem,8.385511,Julian Schnabel,1.001023,0,6868681.766,85230,8,2 hrs. 13 min.,10981512.48,133,2000,137976.1132,11119488.59,172.2,1382762.249,7.30E-05
3435,Shadow of the Vampire,Lions Gate,Horror Comedy,John Malkovich,7.104994,E. Elias Merhige,1.000154,1,13426540.89,150171,6,1 hrs. 33 min.,21492689.37,93,2000,243107.0151,21735796.39,172.2,2702951.554,6.13E-05
3170,The Big Kahuna,Lions Gate,Drama,Kevin Spacey,5.297862,John Swanbeck,1.000055,1,5124597.645,80957,8,1 hrs. 30 min.,8164988.064,90,2000,131058.6906,8296046.754,172.2,9674796.748,6.04E-05
3448,The Tao of Steve,Sony Classics,Comedy,Donal Logue,3.748402,Jenniphr Goodman,1.4,-1,7029453.158,91791,9,1 hrs. 27 min.,11231158.74,87,2000,148597.5057,11379756.25,172.2,1415127.785,5.73E-05
3328,The Big Tease,Warner Bros.,Unknown,Craig Ferguson,2.823805,Kevin Allen,1.871023,0,302974.3698,29010,4,1 hrs. 28 min.,443512.1308,88,2000,46963.35849,490475.4892,172.2,60992.96384,5.56E-05
3404,The Opportunists,First Look,Crime Comedy,Christopher Walken,7.446107,Myles Connell,1.001891,0,945506.2868,46967,5,1 hrs. 30 min.,1454616.43,90,2000,76033.36981,1530649.8,172.2,190343.661,5.30E-05
3334,The Broken Hearts Club: A Romantic Comedy,Sony Classics,Romantic Comedy,Ben Weber,1.004588,Greg Berlanti,7.135051,1,2827490.434,109694,7,1 hrs. 35 min.,4399753.472,95,2000,177580.0981,4577333.57,172.2,569213.4808,2.07E-05
